Timestamp,Logged,Hostname,ExtIP,Description,Details,EventData,SourceFile
2024-11-28 10:30:54,Logged,-,10.10.30.3,RDP OutBound 연결 시도 (1024),"Name: Server Name, Value: 10.10.30.3",Name=Server Name; Value=10.10.30.3; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-11-28 10:31:07,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 263",Name=Disconnect Reason; Value=263; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-11-28 10:32:06,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 1",Name=Disconnect Reason; Value=1; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 06:30:28,Logged,-,10.10.30.3,RDP OutBound 연결 시도 (1024),"Name: Server Name, Value: 10.10.30.3",Name=Server Name; Value=10.10.30.3; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 06:30:32,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 263",Name=Disconnect Reason; Value=263; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 06:31:35,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 1",Name=Disconnect Reason; Value=1; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 07:16:02,Logged,-,10.10.30.3,RDP OutBound 연결 시도 (1024),"Name: Server Name, Value: 10.10.30.3",Name=Server Name; Value=10.10.30.3; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 07:16:06,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 263",Name=Disconnect Reason; Value=263; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-04 10:28:45,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 1",Name=Disconnect Reason; Value=1; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-12 13:28:43,Logged,-,10.10.30.3,RDP OutBound 연결 시도 (1024),"Name: Server Name, Value: 10.10.30.3",Name=Server Name; Value=10.10.30.3; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-12 13:28:48,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 263",Name=Disconnect Reason; Value=263; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-12 13:47:35,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 1",Name=Disconnect Reason; Value=1; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 00:28:16,Logged,-,10.10.30.3,RDP OutBound 연결 시도 (1024),"Name: Server Name, Value: 10.10.30.3",Name=Server Name; Value=10.10.30.3; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 00:28:24,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 2055",Name=Disconnect Reason; Value=2055; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 00:28:27,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 263",Name=Disconnect Reason; Value=263; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 08:27:57,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 2308",Name=Disconnect Reason; Value=2308; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 08:28:23,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 516",Name=Disconnect Reason; Value=516; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 08:28:43,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 516",Name=Disconnect Reason; Value=516; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 08:29:07,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 516",Name=Disconnect Reason; Value=516; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
2024-12-26 08:29:40,Logged,-,-,RDP OutBound 연결 끊김 (1026),"Name: Disconnect Reason, Value: 516",Name=Disconnect Reason; Value=516; CustomLevel=Info,Microsoft-Windows-TerminalServices-RDPClient%4Operational.evtx
